xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_wind3_bus,xformer_id,winding1_basemva,winding2_basemva,winding3_basemva,winding1_basekv,winding2_basekv,winding3_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,winding3_rateA,winding3_rateB,winding3_rateC,p_winding1,q_winding1,p_winding2,q_winding2,p_winding3,q_winding3,amp_winding1,amp_winding2,amp_winding3,Ploss,Qloss,winding1_stat,winding2_stat,winding3_stat,violate
BANK 3_2,667047,668047,669153,3,168.7500000,168.7500000,168.7500000,230.0000000,115.0000000,13.80000019,705.1203613,845.9436646,705.1203613,1073.871460,1198.880493,1411.244995,2823.995850,2823.995850,2823.995850,66.71269226,0.82998306,-66.67609406,1.32543170,-0.00000000,-0.00000000,160.8102875,329.8666992,0.00000000,0.03659821,2.15541482,1,1,1,
CLIFF LAKE AUTO 1,667055,668055,669154,1,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,570.0706787,565.0502319,1181.468628,1417.657349,1181.468628,9417.503906,9501.177734,9417.503906,28.79114532,1.06490302,-28.84780502,-12.98194504,0.07110261,12.64562893,71.07914734,152.2564697,513.4467163,0.01444291,0.72858715,1,1,1,
CLIFF LAKE AUTO 2,667055,668056,669154,2,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,607.9749146,593.9177246,1181.468628,1417.657349,1241.828003,9417.503906,10132.91504,9898.628906,28.84706306,0.89823568,-28.76255798,-12.99062252,-0.07110260,12.83646488,71.20302582,151.9115295,521.1949463,0.01340248,0.74407768,1,1,1,
OVERFLOWING RIVER BANK 1,667060,668135,669125,1,56.25000000,56.25000000,56.25000000,230.0000000,110.0000000,13.80000019,188.0153656,188.0153656,188.0153656,394.1727600,394.1727600,394.1727600,1568.886597,1568.886597,1568.886597,0.00000000,-0.00131838,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00320006,0.00000000,0.00000000,0.00000000,-0.00131838,1,1,1,
RAVEN LAKE AUTO 3,667064,668064,669143,3,75.00000000,75.00000000,75.00000000,230.0000000,115.0000000,13.80000019,251.0218506,300.9751892,251.0218506,502.0437012,601.9503784,502.0437012,1380.620117,1380.620117,1380.620117,-10.62189770,-0.03889237,10.62189865,0.13675889,0.00000000,0.00000000,26.18696594,53.99375534,0.00000000,0.00000095,0.09786653,1,1,0,
CORNWALLIS AUTO 1,667070,668070,669138,1,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,62.74964905,22.23073387,-62.68016052,-18.93645668,0.00000000,0.00000000,175.8189545,328.6347351,0.00000000,0.06948853,3.29427719,1,1,1,
CORNWALLIS AUTO 2,667070,668071,669140,3,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1059.814331,884.0990601,2229.910889,2229.910889,2229.910889,61.47845459,35.50044250,-61.47845459,-31.73425865,-0.00000000,0.00000000,187.4949341,347.2120056,0.00000000,-0.00000000,3.76618385,1,1,1,
CORNWALLIS AUTO 3,667070,668072,669139,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,62.17948151,22.11121178,-62.11522675,-18.84899330,-0.00000000,-0.00000000,174.2942657,325.7838745,0.00000000,0.06425476,3.26221848,1,1,1,
CORNWALLIS AUTO 4,667070,668138,669141,4,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,714.9102783,628.0566406,1255.109253,1506.131104,1255.109253,2510.218506,2510.218506,2510.218506,94.15238190,14.81907845,-94.06565094,-10.33890247,-0.00000000,-0.00000000,251.7239532,474.9519043,0.00000000,0.08673096,4.48017597,1,1,1,
BANK 1_40,668040,668415,669114,1,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000072,0.00008275,-0.00004052,-0.00005810,0.00000475,0.00000298,0.00041050,0.00061737,0.00009775,-0.00003649,0.00002763,1,1,1,
BANK 2_35,668040,668415,669114,2,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000458,0.00010702,-0.00001708,-0.00008050,-0.00000442,-0.00000725,0.00053137,0.00071727,0.00014810,-0.00002608,0.00001926,1,1,1,
BANK 3_18,668040,668415,669114,3,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000581,0.00011422,0.00002880,0.00006930,-0.00000016,0.00000213,0.00056733,0.00065410,0.00003732,0.00002283,0.00018566,1,1,1,
BANK 4_11,668040,668415,669114,4,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000581,0.00011422,0.00002880,0.00006930,-0.00000016,0.00000213,0.00056733,0.00065410,0.00003732,0.00002283,0.00018566,1,1,1,
QE807T,672540,672343,672344,1,100.0000000,100.0000000,100.0000000,138.0000000,13.80000019,13.80000019,711.2285767,711.2285767,711.2285767,3556.143066,3556.143066,3556.143066,3556.143066,3556.143066,3556.143066,0.00000000,0.00381481,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.01543758,0.00000000,0.00000000,0.00000000,0.00381481,1,1,1,
